fecha,CVE_ENT,def_registradas,def_residentes,def_ocurridas
1914-03-14,10,1,1,1
1932-06-26,22,1,1,1
1935-10-01,08,1,1,1
1940-03-23,28,1,1,1
1940-10-25,14,1,1,1
1946-12-10,25,1,1,1
1947-08-15,18,1,NA,1
1948-10-15,10,1,1,1
1948-12-21,27,1,1,1
1951-12-15,25,1,1,1
1951-12-22,10,1,1,1
1952-01-16,16,1,1,1
1953-01-01,16,1,1,1
1953-06-05,24,1,1,1
1954-06-28,32,1,1,1
1954-08-19,25,1,1,1
1955-04-27,18,1,1,1
1955-06-25,16,1,1,1
1956-10-14,16,1,1,1
1957-02-22,12,1,1,1
1959-01-16,14,1,1,1
1959-08-19,10,1,1,1
1959-09-13,25,1,1,1
1960-01-15,30,1,1,1
1960-08-25,30,1,1,1
1960-12-24,16,1,1,1
1961-04-16,15,1,1,1
1962-01-27,05,1,1,1
1963-04-20,10,1,1,1
1963-09-10,05,1,1,1
1964-06-18,25,1,1,1
1965-04-15,25,1,1,1
1965-08-23,32,1,1,1
1965-12-11,25,1,1,1
1966-07-06,10,1,1,1
1966-11-18,32,1,1,1
1966-12-06,25,1,1,1
1967-01-06,18,1,1,1
1967-04-24,25,1,1,1
1967-06-24,32,1,1,1
1967-09-06,25,1,1,1
1968-03-10,14,1,1,1
1968-07-16,25,1,1,1
1969-05-27,25,1,1,1
1969-06-25,22,1,1,1
1969-12-08,28,1,1,1
1970-05-12,32,1,1,1
1970-07-25,32,1,1,1
1971-01-16,25,1,1,1
1971-03-19,16,1,1,1
1971-08-17,32,1,1,1
1972-01-18,18,1,1,1
1972-08-05,32,1,1,1
1973-03-15,30,1,1,1
1973-05-29,25,1,1,1
1973-11-03,14,1,1,1
1973-12-18,32,1,1,1
1974-07-20,22,1,1,1
1974-10-29,18,1,1,1
1975-06-18,25,1,1,1
1975-06-20,18,1,1,1
1975-09-18,10,1,1,1
1975-10-14,25,1,1,1
1976-02-05,25,1,1,1
1976-08-03,12,2,2,2
1976-08-05,12,1,1,1
1976-08-07,08,1,1,1
1976-11-24,16,1,1,1
1977-03-30,16,1,1,1
1977-04-12,10,1,1,1
1977-06-07,16,1,1,1
1977-11-25,10,1,1,1
1978-02-26,18,1,1,1
1978-03-07,10,1,1,1
1978-04-12,32,1,1,1
1978-05-22,16,1,1,1
1979-02-18,25,1,1,1
1979-09-18,18,1,1,1
1979-10-09,30,1,1,1
1980-01-23,28,1,1,1
1980-03-10,10,1,1,1
1980-03-28,25,1,1,1
1980-04-13,10,1,1,1
1980-04-18,08,1,1,1
1980-05-09,32,1,1,1
1980-05-11,16,1,1,1
1980-10-10,10,1,1,1
1981-03-03,10,1,1,1
1981-04-12,10,1,1,1
1981-08-22,18,1,1,1
1981-11-11,12,1,1,1
1981-11-29,16,1,1,1
1981-12-14,30,1,1,1
1982-01-09,25,1,1,1
1982-04-12,25,1,1,1
1982-12-21,25,1,1,1
1982-12-28,32,1,1,1
1983-01-01,25,1,1,1
1983-03-24,26,1,1,1
1983-05-30,20,1,1,1
1983-08-21,18,1,1,1
1983-09-21,18,1,1,1
1984-06-12,28,1,1,1
1984-06-26,25,1,1,1
1984-10-15,25,1,1,1
1984-10-19,30,1,1,1
1984-12-04,05,1,1,1
1985-01-22,28,1,1,1
1985-03-19,16,1,1,1
1985-03-19,25,1,1,1
1985-04-17,18,1,1,1
1985-10-01,25,1,1,1
1985-10-26,26,1,1,1
1986-01-05,08,1,1,1
1986-01-17,16,1,1,1
1986-01-30,10,1,1,NA
1986-02-25,23,1,1,1
1986-03-08,25,1,1,1
1986-09-13,25,1,1,1
1986-09-23,10,1,1,1
1986-11-03,12,1,1,1
1986-11-20,16,1,1,1
1986-12-20,25,2,2,2
1986-12-26,24,1,1,1
1987-02-06,25,1,1,1
1987-03-13,16,1,1,1
1987-04-07,07,1,1,1
1987-04-18,16,1,1,1
1987-05-17,22,1,1,1
