fecha,CVE_ENT,def_registradas
2020-01-01,01,24
2020-01-01,02,78
2020-01-01,03,10
2020-01-01,04,14
2020-01-01,05,59
2020-01-01,06,16
2020-01-01,07,72
2020-01-01,08,87
2020-01-01,09,264
2020-01-01,10,30
2020-01-01,11,116
2020-01-01,12,68
2020-01-01,13,56
2020-01-01,14,101
2020-01-01,15,279
2020-01-01,16,86
2020-01-01,17,40
2020-01-01,18,14
2020-01-01,19,106
2020-01-01,20,77
2020-01-01,21,141
2020-01-01,22,38
2020-01-01,23,27
2020-01-01,24,51
2020-01-01,25,49
2020-01-01,26,73
2020-01-01,27,42
2020-01-01,28,75
2020-01-01,29,21
2020-01-01,30,203
2020-01-01,31,50
2020-01-01,32,39
2020-01-02,01,27
2020-01-02,02,79
2020-01-02,03,10
2020-01-02,04,20
2020-01-02,05,62
2020-01-02,06,17
2020-01-02,07,90
2020-01-02,08,78
2020-01-02,09,282
2020-01-02,10,32
2020-01-02,11,121
2020-01-02,12,61
2020-01-02,13,45
2020-01-02,14,100
2020-01-02,15,314
2020-01-02,16,82
2020-01-02,17,42
2020-01-02,18,15
2020-01-02,19,106
2020-01-02,20,70
2020-01-02,21,161
2020-01-02,22,44
2020-01-02,23,25
2020-01-02,24,55
2020-01-02,25,65
2020-01-02,26,58
2020-01-02,27,40
2020-01-02,28,54
2020-01-02,29,21
2020-01-02,30,201
2020-01-02,31,36
2020-01-02,32,46
2020-01-03,01,22
2020-01-03,02,81
2020-01-03,03,15
2020-01-03,04,12
2020-01-03,05,59
2020-01-03,06,14
2020-01-03,07,66
2020-01-03,08,107
2020-01-03,09,242
2020-01-03,10,33
2020-01-03,11,129
2020-01-03,12,40
2020-01-03,13,45
2020-01-03,14,80
2020-01-03,15,275
2020-01-03,16,81
2020-01-03,17,30
2020-01-03,18,16
2020-01-03,19,86
2020-01-03,20,79
2020-01-03,21,103
2020-01-03,22,29
2020-01-03,23,22
2020-01-03,24,58
2020-01-03,25,47
2020-01-03,26,67
2020-01-03,27,55
2020-01-03,28,70
2020-01-03,29,17
2020-01-03,30,158
2020-01-03,31,39
2020-01-03,32,30
2020-01-04,01,20
2020-01-04,02,72
2020-01-04,03,12
2020-01-04,04,14
2020-01-04,05,59
2020-01-04,06,13
2020-01-04,07,50
2020-01-04,08,77
2020-01-04,09,253
2020-01-04,10,29
2020-01-04,11,126
2020-01-04,12,46
2020-01-04,13,64
2020-01-04,14,94
2020-01-04,15,275
2020-01-04,16,84
2020-01-04,17,45
2020-01-04,18,19
2020-01-04,19,115
2020-01-04,20,53
2020-01-04,21,157
2020-01-04,22,35
2020-01-04,23,23
2020-01-04,24,58
2020-01-04,25,47
2020-01-04,26,70
2020-01-04,27,45
2020-01-04,28,65
2020-01-04,29,15
2020-01-04,30,140
2020-01-04,31,38
2020-01-04,32,32
2020-01-05,01,18
2020-01-05,02,95
2020-01-05,03,11
2020-01-05,04,12
2020-01-05,05,74
2020-01-05,06,11
2020-01-05,07,72
2020-01-05,08,85
2020-01-05,09,244
2020-01-05,10,31
2020-01-05,11,127
2020-01-05,12,50
2020-01-05,13,69
2020-01-05,14,80
2020-01-05,15,266
2020-01-05,16,104
2020-01-05,17,31
2020-01-05,18,18
2020-01-05,19,96
2020-01-05,20,83
2020-01-05,21,152
2020-01-05,22,32
2020-01-05,23,19
2020-01-05,24,49
2020-01-05,25,44
2020-01-05,26,65
2020-01-05,27,42
2020-01-05,28,72
2020-01-05,29,18
2020-01-05,30,164
2020-01-05,31,34
2020-01-05,32,38
2020-01-06,01,30
2020-01-06,02,81
2020-01-06,03,17
2020-01-06,04,15
2020-01-06,05,61
2020-01-06,06,11
2020-01-06,07,101
2020-01-06,08,85
2020-01-06,09,280
2020-01-06,10,38
2020-01-06,11,133
2020-01-06,12,39
2020-01-06,13,56
2020-01-06,14,128
2020-01-06,15,273
2020-01-06,16,102
2020-01-06,17,43
2020-01-06,18,23
2020-01-06,19,107
2020-01-06,20,53
2020-01-06,21,153
2020-01-06,22,32
2020-01-06,23,19
2020-01-06,24,52
2020-01-06,25,55
2020-01-06,26,70
2020-01-06,27,43
2020-01-06,28,68
2020-01-06,29,29
2020-01-06,30,165
2020-01-06,31,42
2020-01-06,32,41
2020-01-07,01,24
2020-01-07,02,71
