CVE_ENT	anio	mes	muertes
01	2020	01	838
01	2020	02	549
01	2020	03	554
01	2020	04	384
01	2020	05	486
01	2020	06	594
01	2020	07	720
02	2020	01	2365
02	2020	02	1889
02	2020	03	1939
02	2020	04	2846
02	2020	05	3900
02	2020	06	3445
02	2020	07	2961
03	2020	01	365
03	2020	02	351
03	2020	03	341
03	2020	04	304
03	2020	05	304
03	2020	06	332
03	2020	07	538
04	2020	01	445
04	2020	02	437
04	2020	03	401
04	2020	04	337
04	2020	05	454
04	2020	06	793
04	2020	07	1509
05	2020	01	1920
05	2020	02	1582
05	2020	03	1457
05	2020	04	1262
05	2020	05	1335
05	2020	06	1516
05	2020	07	2513
06	2020	01	441
06	2020	02	454
06	2020	03	410
06	2020	04	393
06	2020	05	415
06	2020	06	493
06	2020	07	616
07	2020	01	2250
07	2020	02	1824
07	2020	03	1374
07	2020	04	1461
07	2020	05	2326
07	2020	06	4186
07	2020	07	2897
08	2020	01	2700
08	2020	02	2135
08	2020	03	2127
08	2020	04	2479
08	2020	05	2995
08	2020	06	2532
08	2020	07	2403
09	2020	01	7857
09	2020	02	6364
09	2020	03	6357
09	2020	04	8447
09	2020	05	17751
09	2020	06	13819
09	2020	07	10405
10	2020	01	1046
10	2020	02	866
10	2020	03	753
10	2020	04	585
10	2020	05	620
10	2020	06	860
10	2020	07	1012
11	2020	01	3874
11	2020	02	3430
11	2020	03	3276
11	2020	04	3090
11	2020	05	3142
11	2020	06	3974
11	2020	07	5724
12	2020	01	1713
12	2020	02	1539
12	2020	03	1305
12	2020	04	798
12	2020	05	1312
12	2020	06	2555
12	2020	07	3277
13	2020	01	1987
13	2020	02	1392
13	2020	03	1342
13	2020	04	1100
13	2020	05	1681
13	2020	06	1852
13	2020	07	2145
14	2020	01	3853
14	2020	02	3926
14	2020	03	3798
14	2020	04	3377
14	2020	05	4202
14	2020	06	5622
14	2020	07	6281
15	2020	01	8303
15	2020	02	6661
15	2020	03	6784
15	2020	04	8600
15	2020	05	17087
15	2020	06	15028
15	2020	07	12090
16	2020	01	3224
16	2020	02	2537
16	2020	03	2041
16	2020	04	1338
16	2020	05	2037
16	2020	06	2897
16	2020	07	3331
17	2020	01	1286
17	2020	02	1125
17	2020	03	1223
17	2020	04	1411
17	2020	05	2240
17	2020	06	1906
17	2020	07	1713
18	2020	01	657
18	2020	02	530
18	2020	03	521
18	2020	04	259
18	2020	05	388
18	2020	06	596
18	2020	07	818
19	2020	01	3588
19	2020	02	2442
19	2020	03	2603
19	2020	04	1994
19	2020	05	2282
19	2020	06	2523
19	2020	07	4403
20	2020	01	2015
20	2020	02	1678
20	2020	03	1812
20	2020	04	1592
20	2020	05	1958
20	2020	06	2583
20	2020	07	2934
21	2020	01	4549
21	2020	02	3628
21	2020	03	3688
21	2020	04	3728
21	2020	05	4916
21	2020	06	6069
21	2020	07	4795
22	2020	01	1155
22	2020	02	1053
22	2020	03	993
22	2020	04	893
22	2020	05	1054
22	2020	06	1143
22	2020	07	1212
23	2020	01	650
23	2020	02	626
23	2020	03	463
23	2020	04	753
23	2020	05	940
23	2020	06	903
23	2020	07	1580
24	2020	01	1632
24	2020	02	1357
24	2020	03	1299
24	2020	04	1007
24	2020	05	1145
24	2020	06	1427
24	2020	07	2010
25	2020	01	1660
25	2020	02	1334
25	2020	03	1269
25	2020	04	925
25	2020	05	1391
25	2020	06	2298
25	2020	07	2861
26	2020	01	1983
26	2020	02	1680
26	2020	03	1586
26	2020	04	1486
26	2020	05	1744
26	2020	06	3805
26	2020	07	4280
27	2020	01	1463
27	2020	02	1141
27	2020	03	1167
27	2020	04	1188
27	2020	05	1585
27	2020	06	842
27	2020	07	2298
28	2020	01	2172
28	2020	02	1708
28	2020	03	1421
28	2020	04	1062
28	2020	05	1403
28	2020	06	1872
28	2020	07	3605
29	2020	01	695
29	2020	02	533
29	2020	03	500
29	2020	04	522
29	2020	05	899
29	2020	06	1358
29	2020	07	319
30	2020	01	5328
30	2020	02	4061
30	2020	03	4598
30	2020	04	4491
30	2020	05	6334
30	2020	06	7641
30	2020	07	8151
31	2020	01	1042
31	2020	02	857
31	2020	03	6
31	2020	04	31
31	2020	05	5
31	2020	06	4
31	2020	07	4
32	2020	01	1076
32	2020	02	933
32	2020	03	869
32	2020	04	841
32	2020	05	813
32	2020	06	944
32	2020	07	1070
39	2020	01	95
39	2020	02	75
39	2020	03	57
39	2020	04	54
39	2020	05	112
39	2020	06	180
39	2020	07	205
